Height,Gender,N,dbp_24_L,dbp_24_M,dbp_24_S,dbp_wake_L,dbp_wake_M,dbp_wake_S,dbp_sleep_L,dbp_sleep_M,dbp_sleep_S,sbp_24_L,sbp_24_M,sbp_24_S,sbp_wake_L,sbp_wake_M,sbp_wake_S,sbp_sleep_L,sbp_sleep_M,sbp_sleep_S,MAP_24_L,MAP_24_M,MAP_24_S,MAP_wake_L,MAP_wake_M,MAP_wake_S,MAP_sleep_L,MAP_sleep_M,MAP_sleep_S
120,M,31,-1.123,104.5,0.063,-1.291,110.8,0.069,-0.053,93.6,0.077,-1.177,65.6,0.087,1.345,72.3,0.087,0.440,54.3,0.089,-1.747,77.5,0.076,0.135,83.8,0.081,-2.736,66.8,0.084
125,M,25,-0.991,105.3,0.064,-1.007,111.1,0.069,-0.314,94.6,0.079,-0.957,65.9,0.087,1.436,72.3,0.086,0.430,54.8,0.092,-1.352,78.1,0.076,0.368,84.1,0.080,-2.305,67.6,0.085
130,M,25,-0.856,106.2,0.065,-0.71,111.5,0.069,-0.57,95.6,0.080,-0.733,66.1,0.087,1.531,72.2,0.086,0.421,55.1,0.095,-0.951,78.7,0.076,0.604,84.3,0.079,-1.867,68.3,0.086
135,M,44,-0.709,107.2,0.066,-0.38,112,0.068,-0.807,96.7,0.081,-0.511,66.4,0.086,1.629,72.1,0.085,0.410,55.5,0.098,-0.547,79.3,0.076,0.844,84.5,0.078,-1.411,69.0,0.087
140,M,50,-0.556,108.3,0.066,-0.075,112.7,0.067,-0.997,97.9,0.082,-0.322,66.6,0.086,1.711,72.1,0.083,0.398,55.8,0.100,-0.148,79.9,0.075,1.083,84.7,0.077,-0.932,69.6,0.087
145,M,48,-0.406,109.5,0.067,0.117,113.7,0.067,-1.106,99.0,0.082,-0.183,66.9,0.085,1.763,72.1,0.082,0.391,56.0,0.101,0.235,80.5,0.076,1.309,85.0,0.076,-0.427,70.1,0.087
150,M,43,-0.275,110.9,0.067,0.125,115.1,0.067,-1.126,100.1,0.081,-0.107,67.1,0.084,1.777,72.1,0.081,0.395,56.2,0.101,0.589,81.1,0.076,1.509,85.4,0.076,0.092,70.6,0.087
155,M,32,-0.155,112.5,0.067,-0.031,116.8,0.066,-1.068,101.3,0.081,-0.110,67.2,0.083,1.740,72.1,0.080,0.413,56.2,0.101,0.914,81.7,0.076,1.680,85.8,0.076,0.620,71.2,0.086
160,M,39,-0.017,114.2,0.067,-0.251,118.6,0.067,-0.948,102.6,0.080,-0.189,67.3,0.083,1.650,72.2,0.081,0.442,56.3,0.100,1.217,82.3,0.077,1.829,86.4,0.076,1.159,71.9,0.085
165,M,29,0.154,116.1,0.066,-0.431,120.6,0.068,-0.795,104.1,0.079,-0.324,67.5,0.082,1.509,72.3,0.081,0.487,56.5,0.099,1.509,83.1,0.077,1.963,87.1,0.078,1.706,72.7,0.084
170,M,28,0.378,118,0.066,-0.463,122.6,0.069,-0.626,105.6,0.079,-0.479,67.6,0.081,1.329,72.6,0.082,0.556,56.7,0.097,1.805,83.9,0.077,2.092,88.0,0.080,2.269,73.6,0.082
175,M,31,0.651,119.7,0.064,-0.373,124.4,0.069,-0.451,107.2,0.078,-0.635,67.8,0.080,1.136,72.8,0.082,0.647,56.9,0.096,2.110,84.7,0.078,2.226,89.0,0.082,2.843,74.5,0.080
180,M,20,0.942,121.5,0.063,-0.244,126.2,0.069,-0.277,108.7,0.078,-0.785,68.0,0.078,0.939,73.1,0.083,0.755,57.1,0.094,2.423,85.5,0.078,2.364,90.0,0.084,3.425,75.4,0.078
185,M,19,1.24,123.2,0.061,-0.098,128,0.069,-0.1,110.2,0.078,-0.932,68.2,0.077,0.741,73.4,0.083,0.871,57.3,0.093,2.737,86.3,0.079,2.503,91.0,0.087,4.010,76.2,0.075
120,F,30,0.593,104.0,0.059,2.107,110.0,0.061,1.565,95.0,0.070,2.996,65.9,0.065,1.952,73.2,0.077,1.491,55.4,0.112,1.848,77.2,0.067,2.092,83.3,0.074,0.335,68.0,0.097
125,F,32,0.553,105.0,0.060,1.947,110.5,0.062,1.184,95.7,0.071,2.790,65.9,0.070,1.915,72.8,0.080,1.276,55.3,0.115,1.976,77.8,0.068,2.039,83.7,0.076,0.410,68.2,0.096
130,F,27,0.535,106.0,0.060,1.804,111.0,0.063,0.823,96.4,0.073,2.592,66.0,0.075,1.881,72.4,0.083,1.075,55.1,0.118,2.103,78.3,0.069,2.014,84.0,0.077,0.477,68.4,0.096
135,F,20,0.566,106.8,0.061,1.686,111.6,0.064,0.518,96.9,0.075,2.407,66.1,0.080,1.851,72.1,0.087,0.891,54.8,0.120,2.236,78.7,0.071,2.032,84.1,0.079,0.553,68.5,0.096
140,F,34,0.657,107.6,0.062,1.583,112.2,0.065,0.292,97.5,0.077,2.221,66.2,0.084,1.832,71.8,0.090,0.705,54.6,0.121,2.366,79.2,0.073,2.099,84.3,0.080,0.650,68.7,0.097
145,F,39,0.797,108.7,0.062,1.480,113.1,0.066,0.167,98.1,0.079,2.006,66.3,0.087,1.828,71.7,0.092,0.497,54.4,0.121,2.479,79.7,0.074,2.217,84.5,0.080,0.778,69.0,0.097
150,F,54,0.973,109.9,0.063,1.367,114.3,0.066,0.186,98.9,0.080,1.743,66.5,0.089,1.836,71.8,0.092,0.279,54.3,0.118,2.591,80.2,0.074,2.404,84.9,0.079,0.955,69.3,0.097
155,F,51,1.194,111.2,0.062,1.259,115.6,0.066,0.378,100.0,0.079,1.435,66.7,0.087,1.846,72.0,0.090,0.074,54.3,0.114,2.751,80.8,0.073,2.684,85.5,0.077,1.202,69.8,0.095
160,F,65,1.485,112.4,0.060,1.220,117.0,0.064,0.745,101.1,0.077,1.088,67.0,0.083,1.835,72.4,0.085,-0.091,54.6,0.110,2.967,81.5,0.072,3.042,86.2,0.074,1.514,70.4,0.093
165,F,53,1.834,113.7,0.058,1.261,118.3,0.060,1.272,102.2,0.073,0.700,67.4,0.078,1.799,73.1,0.077,-0.200,54.9,0.106,3.214,82.3,0.069,3.442,87.0,0.070,1.871,71.2,0.091
170,F,46,2.210,115.0,0.055,1.332,119.8,0.055,1.903,103.4,0.070,0.285,68.0,0.071,1.739,73.9,0.069,-0.261,55.1,0.147,3.466,83.1,0.066,3.852,88.0,0.064,2.249,72.0,0.089
175,F,24,2.601,116.4,0.052,1.410,121.2,0.050,2.579,104.6,0.068,-0.136,68.6,0.064,1.671,74.8,0.061,-0.296,55.4,0.099,3.728,84.0,0.064,4.268,88.9,0.059,2.638,72.8,0.087